title,author,year,image_url,description,genres,tags,type
Heidi,Johanna Spyri,1885,https://covers.openlibrary.org/b/id/2668686-L.jpg,,,,
Pollyanna,"Eleanor Hodgman Porter, Porter, Neil Reed, Lee Giles",1912,https://covers.openlibrary.org/b/id/902113-L.jpg,,,,
Middlemarch,George Eliot,1871,https://covers.openlibrary.org/b/id/252882-L.jpg,,,,
The Enchanted Castle,Edith Nesbit,1907,https://covers.openlibrary.org/b/id/6644514-L.jpg,,,,
White Fang,Jack London,1905,https://covers.openlibrary.org/b/id/8236920-L.jpg,,,,
Ivanhoe,Sir Walter Scott,1800,https://covers.openlibrary.org/b/id/314235-L.jpg,,,,
The Secret Garden,Frances Hodgson Burnett,1911,https://covers.openlibrary.org/b/id/12622062-L.jpg,,,,
Ethan Frome,Edith Wharton,1910,https://covers.openlibrary.org/b/id/8303480-L.jpg,,,,
Treasure Island,Robert Louis Stevenson,1880,https://covers.openlibrary.org/b/id/13859660-L.jpg,,,,
The Waves,Virginia Woolf,1931,https://covers.openlibrary.org/b/id/119517-L.jpg,,,,
The Scarlet Letter,Nathaniel Hawthorne,1850,https://covers.openlibrary.org/b/id/5654516-L.jpg,,,,
The Sea Fairies,L. Frank Baum,1911,https://covers.openlibrary.org/b/id/1814237-L.jpg,,,,
King Solomon's Mines,H. Rider Haggard,1885,https://covers.openlibrary.org/b/id/6861197-L.jpg,,,,
"Villette, a novel",Charlotte Brontë,1853,https://covers.openlibrary.org/b/id/5737854-L.jpg,,,,
Hard Times,"Charles Dickens, García de García de Luna, Elisa Esgasa, Emilia Pardo Bazán",1854,https://covers.openlibrary.org/b/id/8236916-L.jpg,,,,
The Jungle,Upton Sinclair,1905,https://covers.openlibrary.org/b/id/8231790-L.jpg,,,,
My Ántonia,Willa Cather,1918,https://covers.openlibrary.org/b/id/8369013-L.jpg,,,,
Orlando,Virginia Woolf,1928,https://covers.openlibrary.org/b/id/3240273-L.jpg,,,,
Just So Stories,Rudyard Kipling,1922,https://covers.openlibrary.org/b/id/36215-L.jpg,,,,
Dubliners,James Joyce,1914,https://covers.openlibrary.org/b/id/8216412-L.jpg,,,,
Peter Pan,J. M. Barrie,1911,https://covers.openlibrary.org/b/id/8237052-L.jpg,,,,
Jane Eyre,Charlotte Brontë,1847,https://covers.openlibrary.org/b/id/8235363-L.jpg,,,,
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1900,https://covers.openlibrary.org/b/id/479102-L.jpg,,,,
To the Lighthouse,Virginia Woolf,1927,https://covers.openlibrary.org/b/id/8231846-L.jpg,,,,
Мы,"Евгений Иванович Замятин, Gary Kern, Alejandro Ariel González, Tavo Montañez, Sergio Hernández-Ranera Sánchez, Zilboorg Gregory, Alexander Glinka",1924,https://covers.openlibrary.org/b/id/5484189-L.jpg,,,,
Five Children and It,Edith Nesbit,1905,https://covers.openlibrary.org/b/id/28174-L.jpg,,,,
Great Expectations,"Charles Dickens, Charles Dickens",1861,https://covers.openlibrary.org/b/id/13322313-L.jpg,,,,
The Story of the Amulet,Edith Nesbit,1905,https://covers.openlibrary.org/b/id/13241470-L.jpg,,,,
Little Women,Louisa May Alcott,1848,https://covers.openlibrary.org/b/id/8775559-L.jpg,,,,
Dracula,Bram Stoker,1897,https://covers.openlibrary.org/b/id/12216503-L.jpg,,,,
The Railway Children,Edith Nesbit,1900,https://covers.openlibrary.org/b/id/13241123-L.jpg,,,,
A Room with a View,Edward Morgan Forster,1908,https://covers.openlibrary.org/b/id/1748132-L.jpg,,,,
Frankenstein or The Modern Prometheus,Mary Shelley,1818,https://covers.openlibrary.org/b/id/12356249-L.jpg,,,,
Persuasion,Jane Austen,1789,https://covers.openlibrary.org/b/id/12824691-L.jpg,,,,
Wind in the Willows,"Kenneth Grahame, Michael Hague, John Burningham, David Roberts, Oxford Editor, Guo man, Yang Ma, Ernest H. Shepard, Charles Van Sandwyk, Katie Dicker",1908,https://covers.openlibrary.org/b/id/13335427-L.jpg,,,,
Anne of Avonlea,Lucy Maud Montgomery,1909,https://covers.openlibrary.org/b/id/14638062-L.jpg,,,,
